1,Ernst Conservation Seeds,PA,16335,http://www.ernstseed.com/,sales@ernstseed.com,(800) 873-3321,,
2,Native Haunts,ME,04002,http://www.nativehaunts.com/,nativehaunts@gmail.com,,,
3,,,,,,,,
4,Biophilia Native Nursery,AL,36530,http://www.biophilia.net/,biophilia@gulftel.com,(251) 987-1200,,
5,Biosphere Consulting Inc.,FL,34787,http://www.biospherenursery.com/,BIOSPHERE@BioSphereNursery.com,(407)-656-8277,All species currently available as plants only,
6,,,,,,,,
7,ESP Seeds,OR,97321,http://www.wildflowerseed.com/,cindy@wildflowerseed.com,(805) 291-6172,,
8,Florida Wildflowers Growers Cooperative,FL,32112,http://www.floridawildflowers.com/,businessmanager@floridawildflowers.com,(352) 988-8117,,
9,Sharp Bros. Seed Co.,KS,67850,http://www.sharpseed.com/,inforequest@sharpseed.com,(620) 398-2231,,
10,Agrecol Native Nursery,WI,53536,http://www.agrecol.com/,ecosolutions@agrecol.com,(608) 223-3571,,
11,Allendan Seed Company,IA,50273,http://www.allendanseed.com/,allendan@allendanseed.com,(515) 462-1241,,
12,Blazing Star Nursery,IL,60098,https://blazing-star.com/m/,,(815) 338-4716,Please inquire about seed origin,
13,Cardno JFNew,IN,46574,http://www.cardnonativeplantnursery.com/,nurserysales@cardno.com,(574) 586-2412,$100 minimum order required,
14,Earthskin Nursery,IL,62664,http://www.earthskinnursery.com/,,,,
15,Everwilde Farms,WI,54765,http://www.everwilde.com/,sales@everwilde.com,(888) 848-3837,Please inquire about seed origin,
16,Feder's Prairie Seed Co.,MN,56013,http://www.federprairieseed.com/,feder@bevcomm.net,(507) 526-3049,,
17,Heartland Restoration Services Inc.,IN,46818,http://www.earthsourceinc.net/,mail@earthsourceinc.net,(260) 489-8511,,
18,Hoksey Native Seeds,IA,50153,http://hokseynativeseeds.com/,info@hokseynativeseeds.com,(641) 594-3305,,
19,Ion Exchange Inc.,IA,52146,http://ionxchange.com/,hbright@acegroup.cc,(563) 535-7231,,
20,Michigan Wildflower Farm,MI,48875,http://www.michiganwildflowerfarm.com/,wildflowers@voyager.net,(517) 647-6010,,
21,Minnesota Native Landscapes,MN,55362,http://www.mnnativelandscapes.com/,wes@mnlcorp.com,(763) 295-0010,,
22,Morning Sky Greenery,MN,56267,http://www.morningskygreenery.com/,info@morningskygreenery.com,(320) 795-6234,,
23,Native Connections,MI,49093,http://nativeconnections.net/,info@nativeconnections.net,(269) 580-4764,Milkweed available only in seed mixes,
24,Ohio Prairie Nursery,OH,44234,https://ohioprairienursery.com/,info@ohioprairienursery.com,(866) 569-3380,,
25,Osenbaugh's Prairie Seed Farms,IA,50151,http://www.prairieseedfarms.com/,info@PrairieSeedFarms.com,(641) 766-6790,,
26,The Prairie Flower,IA,51301,http://theprairieflower.com/,prairieflwer@evertek.net,(712) 262-5864,,
27,Prairie Moon Nursery,MN,55987,http://www.prairiemoon.com/,info@prairiemoon.com,(507) 452-1362,,
28,Prairie Restorations Inc.,MN,55371,http://www.prairieresto.com/,info@prairieresto.com,(763) 389-4342,,
29,Shooting Star Native Seeds,MN,55974,http://www.shootingstarnativeseed.com/,info@shootingstarnativeseed.com,(507) 498-3944,,
30,Spence Restoration Nursery,IN,47302,http://www.spencenursery.com/,amy@spencenursery.com,(765) 286-7154,,
31,Wilson Seed Farms Inc.,IL,61368,http://www.wilsonseed.com/,cwilson5@hotmail.com,(815) 878-8572,,
32,DeLange Seed Inc.,KS,66743,http://www.delangeseed.com/,delangseed@ckt.net,(800) 962-5429,,
33,Grasslander,OK,73742,http://www.grasslander.com/,,(405) 853-2607,Milkweed seed available but only in mixes,
34,Hamilton Native Outpost,MO,65464,http://www.hamiltonseed.com/,natives@hamiltonnativeoutpost.com,(417) 967-2190,,
35,Holland Wildflower Farm,AR,72727,http://www.hollandwildflowerfarm.com,info@hollandwildflowerfarm.com,(800) 684-3734,Please inquire about seed origin,
36,Johnston Seed Co.,OK,73702,http://www.johnstonseed.com,johnseed@johnstonseed.com,(800) 375-4613,,
37,Lorenz's OK Seeds LLC.,OK,73763,http://www.lorenzsokseedsllc.com/,okseeds@okeene.com,(580) 822 3655,,
38,Missouri Wildflowers Nursery,MO,65109,http://www.mowildflowers.net/,mowldflrs@socket.net,(573) 496-3492,,
39,Native American Seed,TX,76849,http://www.seedsource.com/,info@seedsource.com,(800) 728-4043,Please inquire about seed origin,
40,Natives of Texas,TX,78028,http://www.nativesoftexas.com/,dwinningham@texxa.net,(830) 896-2169,,
41,Star Seed Inc.,KS,67473,http://gostarseed.com/,info@gostarseed.com,(800) 782-7311,Please inquire about seed origin,
42,Turner Seed,TX,76424,http://www.turnerseed.com/,turnerseed@turnerseed.com,(800) 722-8616,Please inquire about seed origin,
43,Wildseed Farms,TX,78624,http://www.wildseedfarms.com/,,(800) 848-0078,Please inquire about seed origin,
